RCDTS,Type,School Name,District,City,County,District Type,School Type,Title 1 Status,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,Avg Class Size - High School,Avg Number of Days of Physical Education per Week Per Student,Percent Teachers With Bachelor Degree,Percent Teachers With Masters Degree,Teacher Retention Rate,Teacher Attendance Rate,Teacher Avg Salary,Admin Avg Salary,Chronic Absenteeism,% Students with an IEP - White,% Students with an IEP - Black or African American,% Students with an IEP - Hispanic or Latino,% Students with an IEP - Asian,Grades Served,Summative Designation,Summative Designation: Student Group(s),$ Site-level Per-Pupil Expenditures - Subtotal,$ Total Per-Pupil Expenditures - Subtotal,SAT Reading Average,SAT Math Average,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,Year
10010010260001,School,Seymour High School,Payson CUSD 1,Payson,Adams,Unit Distrcts,High School,Title 1 Eligible but Not Serve,222,91.9,*,*,0,0,0,6.8,25.7,16.2,0,47.7,0,176.0,91.9,16.6,*,8.6,4.7,75.1,24.9,82.6,65.5,47975.0,88661.0,21.9,93.9,*,*,0,7 - 12,Commendable,All Students,7466.32,12763.68,466.1,439.8,56.1,26.8,17.1,0,2023
10010020260001,School,Liberty High School,Liberty CUSD 2,Liberty,Adams,Unit Distrcts,High School,Title 1 Eligible but Not Serve,265,92.8,*,*,0,0,0,5.7,20.4,20.4,0,30.2,0,177.0,93.9,7.7,*,7.4,3.6,46.0,54.0,88.5,52.9,45715.0,102320.0,16.4,92.3,*,0,0,7 - 12,Exemplary,All Students,7901.9,12676.51,470.2,476.3,34.9,27.9,32.6,4.7,2023
10010030260001,School,Central High School,Central CUSD 3,Camp Point,Adams,Unit Distrcts,High School,Title 1 Eligible but Not Serve,232,95.3,*,*,*,0,*,*,24.1,16.8,*,37.1,*,176.0,95.4,4.6,*,8.1,5.0,55.5,42.9,87.8,52.9,50822.0,82832.0,12.5,93.2,*,*,0,9 - 12,Commendable,All Students,9509.36,16662.09,501.6,525.8,18.6,27.9,41.9,11.6,2023
10010040260001,School,Unity High School,CUSD 4,Mendon,Adams,Unit Distrcts,High School,Title 1 Eligible but Not Serve,179,93.9,*,*,*,0,*,*,18.4,17.9,*,40.8,*,176.0,92.2,7.1,*,10.9,5.0,72.7,24.7,76.9,82.4,46153.0,90854.0,29.3,96.7,0,*,0,9 - 12,Commendable,All Students,7127.67,12286.56,467.7,449.8,60.5,14,25.6,0,2023
10011720220003,School,Quincy Sr High School,Quincy SD 172,Quincy,Adams,Unit Distrcts,High School,Title 1 Schoolwide,1835,78.3,7.2,4.1,1.2,*,*,8.7,19,14.6,0.8,53.5,0.7,177.0,86.7,31.6,4.3,15.0,4.4,52.6,46.6,90.4,98.9,49416.0,92669.0,40.8,72.9,12.1,4.3,*,9 - 12,Commendable,All Students,7569.14,12140.3,468.1,442.7,56.8,26.2,14.7,2.3,2023
10050010260001,School,Brown County High School,Brown County CUSD 1,Mount Sterling,Brown,Unit Distrcts,High School,Title 1 Eligible but Not Serve,214,93,*,*,*,0,0,*,16.4,11.7,*,36,*,176.0,93.9,*,*,7.8,5.0,79.8,20.2,94.4,81.6,52111.0,100618.0,20.4,95.8,*,*,*,9 - 12,Commendable,All Students,11627.85,14888.21,476.7,446.3,54.9,27.5,17.6,0,2023
10090150260007,School,Beardstown Jr/Sr High School,Beardstown CUSD 15,Beardstown,Cass,Unit Distrcts,High School,Title 1 Eligible but Not Serve,814,28.6,10.8,56.1,1.5,*,*,2,14.4,14.4,47.1,73.3,2.2,176.0,92.9,11.8,4,8.9,4.5,67.6,30.6,87.8,62.8,50911.0,98928.0,21.3,33.3,9.1,54.5,0,5 - 12,Commendable,All Students,6524.02,12593.58,423.4,403.8,72.3,25,2.7,0,2023
10090640260003,School,Virginia Jr/ Sr High School,Virginia CUSD 64,Virginia,Cass,Unit Distrcts,High School,Title 1 Eligible but Not Serve,136,87.5,*,*,0,0,*,*,14,13.2,*,55.9,*,176.0,92.9,*,*,8.9,5.0,49.3,48.6,82.9,84.0,52698.0,83751.0,20.1,84.6,*,*,0,6 - 12,Commendable,All Students,8408.24,14598.03,480.5,447.9,52.6,42.1,5.3,0,2023
10092620260002,School,A-C Central High School,A-C Central CUSD 262,Ashland,Cass,Unit Distrcts,High School,Title 1 Eligible but Not Serve,101,93.1,*,*,0,0,0,*,11.9,11.9,*,39.6,*,176.0,90.8,15,*,5.8,5.0,63.6,36.4,65.4,100.0,46686.0,86061.0,33.3,100,0,0,0,9 - 12,Commendable,All Students,8046.83,18021.47,471.1,438.9,55.6,33.3,11.1,0,2023
10690010260001,School,Franklin Jr/Sr High School,Franklin CUSD 1,Franklin,Morgan,Unit Distrcts,High School,Title 1 Eligible but Not Serve,138,95.7,*,*,*,0,*,*,17.4,15.2,0,30.4,0,176.0,93.0,*,,9.1,3.0,71.2,28.8,80.9,74.9,55561.0,97732.0,23.1,91.7,*,*,0,6 - 12,Commendable,All Students,17962.15,25078.9,490.7,443.7,59.3,25.9,14.8,0,2023
